ImageId,Label
1,0
2,9
3,9
4,3
5,4
6,9
7,9
8,3
9,3
10,3
11,3
12,3
13,9
14,9
15,3
16,9
17,4
18,9
19,3
20,9
21,3
22,3
23,3
24,3
25,9
26,9
27,9
28,9
29,9
30,3
31,3
32,4
33,9
34,4
35,9
36,4
37,3
38,4
39,9
40,4
41,9
42,3
43,4
44,3
45,9
46,3
47,3
48,9
49,3
50,3
51,4
52,9
53,3
54,3
55,3
56,4
57,3
58,3
59,9
60,3
61,9
62,9
63,3
64,3
65,3
66,4
67,9
68,3
69,4
70,9
71,9
72,3
73,9
74,9
75,3
76,9
77,9
78,9
79,9
80,4
81,3
82,4
83,4
84,9
85,9
86,4
87,9
88,3
89,3
90,3
91,9
92,3
93,3
94,9
95,3
96,3
97,9
98,9
99,3
100,9
101,3
102,3
103,3
104,9
105,3
106,3
107,9
108,3
109,3
110,3
111,4
112,3
113,3
114,9
115,3
116,9
117,9
118,4
119,9
120,3
121,9
122,3
123,4
124,9
125,4
126,3
127,4
128,3
129,0
130,9
131,3
132,3
133,3
134,9
135,9
136,3
137,3
138,9
139,3
140,9
141,3
142,9
143,9
144,3
145,3
146,3
147,3
148,9
149,9
150,3
151,3
152,3
153,3
154,3
155,3
156,9
157,9
158,9
159,9
160,3
161,3
162,9
163,9
164,9
165,9
166,3
167,9
168,4
169,9
170,9
171,3
172,3
173,9
174,4
175,4
176,4
177,9
178,9
179,3
180,9
181,9
182,3
183,3
184,4
185,9
186,3
187,4
188,3
189,9
190,9
191,3
192,3
193,9
194,4
195,9
196,3
197,3
198,9
199,9
200,9
201,9
202,3
203,9
204,3
205,3
206,9
207,3
208,9
209,4
210,9
211,4
212,3
213,9
214,3
215,3
216,3
217,4
218,3
219,4
220,9
221,9
222,3
223,9
224,3
225,3
226,4
227,9
228,3
229,4
230,9
231,3
232,9
233,4
234,3
235,3
236,4
237,4
238,9
239,3
240,3
241,4
242,4
243,4
244,9
245,9
246,3
247,9
248,9
249,3
250,9
251,9
252,9
253,4
254,9
255,3
256,9
257,3
258,4
259,9
260,3
261,9
262,9
263,9
264,9
265,3
266,3
267,4
268,4
269,9
270,3
271,4
272,3
273,4
274,9
275,3
276,3
277,4
278,3
279,9
280,9
281,3
282,3
283,4
284,3
285,3
286,3
287,3
288,4
289,9
290,3
291,3
292,3
293,9
294,3
295,3
296,9
297,3
298,9
299,4
300,9
301,4
302,3
303,3
304,3
305,9
306,9
307,9
308,3
309,9
310,4
311,3
312,4
313,9
314,4
315,4
316,3
317,9
318,9
319,4
320,9
321,3
322,4
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,4
332,4
333,4
334,4
335,3
336,3
337,9
338,3
339,4
340,3
341,4
342,3
343,3
344,9
345,4
346,9
347,4
348,4
349,9
350,3
351,4
352,3
353,3
354,3
355,3
356,4
357,9
358,9
359,9
360,4
361,9
362,4
363,4
364,9
365,9
366,4
367,3
368,3
369,3
370,9
371,9
372,9
373,3
374,3
375,9
376,9
377,9
378,4
379,4
380,9
381,3
382,9
383,3
384,9
385,4
386,4
387,3
388,9
389,9
390,9
391,3
392,3
393,3
394,9
395,3
396,4
397,4
398,4
399,3
400,3
401,9
402,3
403,4
404,4
405,4
406,4
407,4
408,9
409,3
410,9
411,9
412,9
413,9
414,4
415,3
416,9
417,3
418,4
419,9
420,9
421,9
422,4
423,4
424,3
425,9
426,3
427,9
428,9
429,9
430,9
431,9
432,9
433,3
434,4
435,9
436,9
437,3
438,4
439,3
440,9
441,3
442,9
443,9
444,9
445,9
446,9
447,9
448,4
449,4
450,3
451,3
452,3
453,9
454,3
455,3
456,9
457,3
458,9
459,9
460,3
461,9
462,3
463,3
464,3
465,3
466,4
467,3
468,9
469,3
470,9
471,3
472,3
473,3
474,9
475,3
476,3
477,9
478,4
479,4
480,9
481,4
482,4
483,4
484,9
485,3
486,3
487,9
488,4
489,9
490,3
491,9
492,9
493,3
494,9
495,4
496,3
497,9
498,4
499,9
500,9
501,9
502,3
503,3
504,4
505,3
506,3
507,3
508,3
509,3
510,4
511,9
512,9
513,3
514,9
515,3
516,9
517,3
518,9
519,3
520,4
521,4
522,9
523,4
524,9
525,9
526,4
527,9
528,3
529,3
530,9
531,3
532,9
533,9
534,3
535,4
536,3
537,3
538,3
539,3
540,9
541,9
542,4
543,3
544,4
545,3
546,3
547,4
548,3
549,4
550,4
551,9
552,9
553,9
554,9
555,4
556,3
557,9
558,9
559,9
560,3
561,4
562,3
563,9
564,3
565,9
566,9
567,0
568,9
569,4
570,9
571,9
572,3
573,3
574,9
575,4
576,9
577,9
578,3
579,4
580,9
581,3
582,9
583,3
584,9
585,3
586,3
587,3
588,3
589,3
590,9
591,9
592,9
593,3
594,9
595,4
596,4
597,3
598,9
599,9
600,9
601,9
602,4
603,3
604,9
605,3
606,3
607,3
608,4
609,3
610,9
611,3
612,9
613,9
614,4
615,9
616,3
617,3
618,4
619,9
620,4
621,9
622,3
623,3
624,3
625,9
626,9
627,3
628,9
629,3
630,3
631,4
632,4
633,3
634,3
635,4
636,9
637,3
638,3
639,4
640,3
641,9
642,3
643,3
644,4
645,9
646,9
647,9
648,9
649,9
650,4
651,3
652,3
653,9
654,3
655,9
656,4
657,3
658,3
659,4
660,9
661,9
662,9
663,9
664,9
665,9
666,3
667,3
668,3
669,3
670,9
671,4
672,9
673,3
674,3
675,9
676,3
677,9
678,3
679,0
680,3
681,9
682,3
683,9
684,4
685,9
686,9
687,4
688,3
689,9
690,9
691,9
692,9
693,9
694,3
695,3
696,9
697,4
698,9
699,3
700,9
701,9
702,9
703,3
704,3
705,9
706,3
707,3
708,9
709,4
710,3
711,9
712,9
713,4
714,0
715,3
716,9
717,9
718,9
719,4
720,9
721,3
722,4
723,9
724,3
725,3
726,9
727,9
728,9
729,3
730,3
731,3
732,3
733,3
734,4
735,3
736,3
737,4
738,3
739,3
740,3
741,3
742,3
743,4
744,9
745,9
746,3
747,3
748,3
749,4
750,9
751,9
752,3
753,4
754,9
755,3
756,9
757,3
758,4
759,3
760,9
761,3
762,4
763,9
764,4
765,9
766,9
767,9
768,9
769,4
770,9
771,9
772,9
773,9
774,4
775,9
776,9
777,3
778,9
779,9
780,4
781,4
782,3
783,3
784,9
785,4
786,9
787,3
788,9
789,3
790,3
791,9
792,4
793,9
794,3
795,3
796,3
797,4
798,0
799,3
800,3
801,9
802,3
803,3
804,3
805,9
806,9
807,9
808,9
809,3
810,4
811,3
812,9
813,3
814,4
815,3
816,9
817,4
818,9
819,9
820,4
821,9
822,3
823,3
824,3
825,4
826,9
827,9
828,9
829,3
830,4
831,4
832,9
833,3
834,0
835,3
836,3
837,9
838,4
839,9
840,3
841,4
842,9
843,3
844,9
845,3
846,4
847,9
848,4
849,9
850,3
851,9
852,3
853,3
854,9
855,4
856,3
857,4
858,4
859,3
860,9
861,3
862,9
863,4
864,9
865,9
866,3
867,9
868,9
869,4
870,9
871,9
872,9
873,9
874,3
875,3
876,9
877,4
878,9
879,3
880,3
881,9
882,9
883,9
884,9
885,9
886,9
887,4
888,3
889,9
890,9
891,9
892,9
893,3
894,4
895,3
896,9
897,3
898,4
899,3
900,4
901,3
902,3
903,3
904,9
905,3
906,9
907,3
908,3
909,4
910,3
911,3
912,3
913,9
914,3
915,9
916,9
917,3
918,4
919,4
920,9
921,9
922,9
923,4
924,3
925,3
926,9
927,3
928,3
929,9
930,3
931,9
932,3
933,4
934,9
935,3
936,3
937,3
938,3
939,3
940,4
941,3
942,4
943,9
944,3
945,4
946,3
947,9
948,3
949,9
950,9
951,4
952,3
953,3
954,3
955,9
956,3
957,4
958,9
959,4
960,9
961,3
962,9
963,9
964,9
965,9
966,9
967,3
968,9
969,3
970,9
971,3
972,4
973,3
974,4
975,9
976,3
977,9
978,4
979,3
980,4
981,3
982,9
983,3
984,9
985,9
986,9
987,3
988,3
989,9
990,3
991,9
992,3
993,3
994,9
995,3
996,9
997,4
998,3
999,4
1000,3
1001,9
1002,9
1003,9
1004,3
1005,4
1006,9
1007,4
1008,3
1009,3
1010,3
1011,9
1012,3
1013,3
1014,9
1015,4
1016,9
1017,4
1018,3
1019,9
1020,3
1021,4
1022,9
1023,9
1024,4
1025,9
1026,3
1027,9
1028,3
1029,9
